EmployeeNumber,Attrition,Age,Gender,MaritalStatus,DistanceFromHome,Education,EducationField,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,Department,BusinessTravel,JobRole,JobLevel,OverTime,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,PerformanceRating,YearsAtCompany,YearsSinceLastPromotion,YearsInCurrentRole,YearsWithCurrManager,
1045,No,45,Female,Married,11,College,Life Sciences,3,26,4,Sales,Travel_Rarely,Manager,4,No,17650,90,1234,5404,13,1,Very High,Very High,Best,Good,High,3,9,1,3,1,
1046,No,32,Female,Single,29,Master,Medical,9,10,2,Research & Development,Non-Travel,Laboratory Technician,1,No,4025,69,1109,11135,12,0,High,Very High,Better,Good,High,3,8,7,7,7,
1047,No,34,Male,Divorced,1,Master,Marketing,0,16,2,Sales,Travel_Rarely,Sales Executive,2,No,9725,75,216,12278,11,1,Very High,Medium,Good,Best,Very High,3,15,0,1,9,
1048,No,59,Male,Married,1,College,Technical Degree,3,14,1,Sales,Travel_Rarely,Manager,3,Yes,11904,66,1089,11038,14,1,Very High,Medium,Bad,Better,High,3,6,0,4,4,
1049,No,45,Male,Single,24,Master,Medical,1,6,3,Human Resources,Travel_Rarely,Human Resources,1,No,2177,36,788,8318,16,0,Medium,Medium,Better,Bad,High,3,6,0,3,4,
1050,No,53,Female,Married,2,Bachelor,Marketing,2,30,2,Sales,Travel_Frequently,Sales Executive,3,No,7525,38,124,23537,12,1,Medium,High,Better,Bad,Medium,3,15,6,7,12,
1052,Yes,36,Male,Divorced,15,Bachelor,Other,7,9,3,Research & Development,Travel_Rarely,Laboratory Technician,2,No,4834,81,660,7858,14,1,High,Low,Good,Good,High,3,1,0,0,0,
1053,Yes,26,Male,Married,2,Bachelor,Life Sciences,6,6,2,Research & Development,Travel_Frequently,Research Scientist,1,Yes,2042,57,342,15346,14,1,Low,Low,Better,Good,High,3,3,1,2,2,
1055,No,34,Female,Married,10,Master,Life Sciences,1,1,2,Sales,Travel_Rarely,Sales Representative,1,Yes,2220,87,1333,18410,19,1,High,High,Better,Best,High,3,1,0,1,0,
1056,No,28,Male,Married,10,Below College,Medical,1,1,5,Sales,Travel_Rarely,Sales Representative,1,No,1052,74,1144,23384,22,0,Medium,Very High,Better,Good,High,4,1,0,0,0,
1060,No,38,Male,Married,3,Master,Other,3,8,2,Research & Development,Travel_Frequently,Research Scientist,1,No,2821,44,1186,2997,16,1,High,High,Better,Bad,High,3,2,2,2,2,
1061,No,50,Male,Married,2,Master,Medical,2,29,2,Research & Development,Travel_Rarely,Research Director,5,Yes,19237,62,1464,12853,11,1,High,Medium,Good,Best,High,3,8,7,1,7,
1062,No,37,Female,Single,3,Bachelor,Other,3,8,3,Research & Development,Travel_Rarely,Healthcare Representative,2,No,4107,35,124,13848,15,0,Medium,Very High,Good,Bad,High,3,4,0,3,1,
1066,No,40,Male,Married,26,Bachelor,Marketing,1,8,3,Sales,Travel_Rarely,Sales Executive,2,No,8396,74,300,22217,14,1,Low,High,Good,Good,High,3,7,7,7,5,
1068,No,26,Female,Divorced,1,Below College,Medical,1,5,5,Research & Development,Travel_Frequently,Research Scientist,1,No,2007,66,921,25265,13,2,High,Low,Better,Better,Medium,3,5,1,3,3,
1069,No,46,Male,Divorced,1,Master,Medical,9,23,0,Research & Development,Travel_Rarely,Research Director,5,No,19627,40,430,21445,17,2,Very High,Very High,Better,Best,High,3,2,2,2,2,
1070,No,54,Female,Married,2,Master,Life Sciences,6,13,4,Sales,Travel_Rarely,Sales Executive,3,No,10686,41,1082,8392,11,1,High,High,Better,Good,Medium,3,9,7,4,0,
1071,No,56,Female,Married,9,Bachelor,Medical,2,18,4,Research & Development,Travel_Frequently,Research Scientist,1,No,2942,63,1240,12154,19,1,High,Low,Better,Good,High,3,5,0,4,3,
1073,No,36,Female,Single,12,Doctor,Medical,0,15,2,Research & Development,Travel_Rarely,Manufacturing Director,3,No,8858,51,796,15669,11,0,Very High,Very High,Good,Good,Medium,3,14,7,8,8,
1074,No,55,Male,Single,2,Below College,Medical,7,31,3,Research & Development,Non-Travel,Manager,4,No,16756,40,444,17323,15,0,Low,High,Best,Good,Medium,3,9,6,7,2,
1076,No,43,Male,Divorced,25,Bachelor,Medical,5,18,5,Sales,Travel_Rarely,Sales Executive,3,No,10798,79,415,5268,13,1,Very High,High,Better,Better,Medium,3,1,0,0,0,
1077,Yes,20,Female,Single,9,Bachelor,Marketing,1,2,3,Sales,Travel_Frequently,Sales Representative,1,Yes,2323,54,769,17205,14,0,Very High,Very High,Better,Good,High,3,2,0,2,2,
1079,Yes,21,Female,Single,10,Bachelor,Life Sciences,1,1,6,Research & Development,Travel_Rarely,Laboratory Technician,1,No,1416,36,1334,17258,13,0,Low,High,Good,Bad,Medium,3,1,1,0,0,
1080,No,46,Female,Divorced,8,Master,Life Sciences,8,19,2,Research & Development,Travel_Rarely,Research Scientist,2,Yes,4615,74,1003,21029,23,3,Low,Very High,Better,Bad,Medium,4,16,1,13,7,
1081,Yes,51,Male,Married,4,Master,Life Sciences,9,18,2,Research & Development,Travel_Rarely,Research Scientist,1,Yes,2461,34,1323,10332,12,3,High,Low,Best,Better,High,3,10,2,0,7,
1082,Yes,28,Male,Single,24,College,Technical Degree,1,10,2,Research & Development,Non-Travel,Healthcare Representative,3,No,8722,72,1366,12355,12,0,Low,Medium,Good,Bad,Medium,3,10,1,7,9,
1083,No,26,Male,Married,1,College,Medical,1,6,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,3955,59,192,11141,16,2,Low,Low,Better,Bad,Medium,3,5,1,3,3,
1084,No,30,Male,Married,20,Bachelor,Other,0,7,1,Research & Development,Travel_Rarely,Manufacturing Director,2,No,9957,85,1176,9096,15,1,Low,High,Good,Better,High,3,6,0,2,2,
1085,No,41,Female,Married,7,College,Technical Degree,1,10,3,Research & Development,Travel_Rarely,Research Scientist,1,No,3376,43,509,18863,13,0,High,Medium,Better,Better,Very High,3,10,0,6,8,
1088,No,38,Female,Married,17,Below College,Life Sciences,0,20,4,Research & Development,Travel_Rarely,Healthcare Representative,3,No,8823,65,330,24608,18,1,High,High,Good,Bad,Medium,3,19,1,9,9,
1092,No,40,Male,Married,20,Master,Technical Degree,4,14,6,Research & Development,Travel_Rarely,Healthcare Representative,3,No,10322,61,1492,26542,20,1,Very High,Low,Better,Best,High,4,11,11,10,1,
1094,No,27,Male,Married,8,Doctor,Life Sciences,1,3,4,Research & Development,Non-Travel,Laboratory Technician,1,No,4621,87,1277,5869,19,3,High,Low,Better,Best,Low,3,3,1,2,2,
1096,No,55,Male,Married,2,Below College,Life Sciences,3,23,4,Research & Development,Travel_Frequently,Manufacturing Director,3,No,10976,65,1091,15813,18,1,Medium,Very High,Better,Good,High,3,3,1,2,2,
1097,No,28,Female,Single,10,Bachelor,Other,3,10,4,Research & Development,Travel_Rarely,Research Scientist,2,No,3660,59,857,7909,13,0,High,High,Best,Best,High,3,8,1,7,7,
1098,Yes,44,Male,Married,1,College,Medical,9,24,1,Human Resources,Travel_Rarely,Human Resources,3,No,10482,91,1376,2326,14,1,Low,Medium,Better,Best,Medium,3,20,3,6,6,
1099,No,33,Male,Divorced,5,Bachelor,Life Sciences,4,9,2,Research & Development,Travel_Rarely,Healthcare Representative,3,No,7119,34,654,21214,15,1,Very High,Very High,Better,Better,Medium,3,3,1,2,2,
1100,Yes,35,Male,Single,4,Bachelor,Technical Degree,0,9,2,Sales,Travel_Rarely,Sales Executive,3,Yes,9582,86,1204,10333,22,0,Low,Very High,Better,Bad,High,4,8,4,7,7,
1101,Yes,33,Female,Single,29,Master,Medical,1,14,4,Research & Development,Travel_Frequently,Research Scientist,2,No,4508,54,827,3129,22,0,High,Low,Better,Good,Medium,4,13,3,7,8,
1102,No,28,Male,Divorced,15,College,Life Sciences,1,4,5,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2207,50,895,22482,16,1,High,Low,Good,Best,High,3,4,2,2,2,
1103,No,34,Male,Single,3,Below College,Life Sciences,0,7,1,Research & Development,Travel_Frequently,Healthcare Representative,2,No,7756,45,618,22266,17,0,Very High,Low,Good,Better,High,3,6,0,2,4,
1105,No,37,Female,Divorced,10,Master,Life Sciences,2,8,5,Sales,Travel_Rarely,Sales Executive,2,Yes,6694,88,309,24223,14,3,Very High,Very High,Better,Better,Medium,3,1,0,0,0,
1106,Yes,25,Male,Married,4,Below College,Technical Degree,1,7,3,Research & Development,Travel_Rarely,Laboratory Technician,1,Yes,3691,32,1219,4605,15,1,Very High,Very High,Best,Good,High,3,7,5,7,6,
1107,Yes,26,Male,Divorced,21,Bachelor,Medical,1,1,0,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2377,37,1330,19373,20,1,High,Low,Good,Better,High,4,1,0,1,0,
1108,Yes,33,Male,Single,25,Bachelor,Medical,4,5,0,Research & Development,Travel_Rarely,Research Scientist,1,Yes,2313,55,1017,2993,20,0,Medium,Low,Better,Good,Medium,4,2,2,2,2,
1109,No,42,Male,Married,2,College,Medical,0,23,3,Research & Development,Travel_Rarely,Manager,4,No,17665,35,469,14399,17,1,Low,Very High,Better,Best,High,3,22,13,6,7,
1111,Yes,28,Male,Divorced,1,Bachelor,Medical,1,1,2,Research & Development,Travel_Frequently,Laboratory Technician,1,No,2596,45,1009,7160,15,2,Medium,Low,Better,Bad,Medium,3,1,0,0,0,
1113,Yes,50,Male,Single,1,Master,Other,3,5,4,Sales,Travel_Frequently,Sales Executive,2,Yes,4728,81,959,17251,14,0,High,Very High,Better,Best,High,3,0,0,0,0,
1114,No,33,Female,Married,7,Bachelor,Life Sciences,0,4,3,Sales,Travel_Frequently,Sales Executive,2,No,4302,30,970,13401,17,1,Medium,Very High,Better,Better,High,3,3,0,2,2,
1115,No,34,Male,Married,3,Master,Life Sciences,3,6,2,Research & Development,Non-Travel,Research Scientist,1,No,2979,40,697,22478,17,3,Very High,High,Better,Best,Medium,3,0,0,0,0,
1116,No,48,Male,Single,1,Master,Medical,2,27,3,Research & Development,Non-Travel,Manager,4,No,16885,35,1262,16154,22,0,Very High,Low,Good,Better,Very High,4,5,2,4,1,
1117,No,45,Female,Married,9,Master,Life Sciences,1,15,2,Sales,Non-Travel,Sales Executive,2,No,5593,65,1050,17970,13,1,High,Medium,Better,Best,Medium,3,15,4,10,12,
1118,No,52,Male,Single,7,Master,Life Sciences,7,18,4,Research & Development,Travel_Rarely,Healthcare Representative,3,No,10445,87,994,15322,19,0,Medium,Medium,Better,Best,High,3,8,4,6,0,
1119,No,38,Male,Divorced,10,Master,Marketing,0,9,2,Sales,Travel_Rarely,Sales Executive,3,Yes,8740,73,770,5569,14,2,High,High,Better,Good,Medium,3,8,2,7,7,
1120,No,29,Female,Divorced,28,Master,Life Sciences,4,11,1,Research & Development,Travel_Rarely,Research Scientist,1,No,2514,93,1107,26968,22,1,Very High,High,Better,Bad,High,4,7,1,5,7,
1121,No,28,Female,Divorced,3,Bachelor,Medical,0,10,3,Research & Development,Travel_Rarely,Manufacturing Director,3,No,7655,93,950,8039,17,3,Medium,Very High,Good,Good,High,3,9,1,7,7,
1124,No,46,Male,Married,3,Below College,Marketing,3,23,3,Sales,Travel_Rarely,Manager,4,No,17465,52,406,15596,12,1,High,Low,Better,Best,High,3,12,4,9,9,
1125,No,38,Male,Single,2,College,Marketing,7,10,2,Sales,Travel_Rarely,Sales Executive,3,No,7351,32,130,20619,16,0,Medium,Very High,Better,Better,High,3,1,0,0,0,
1126,No,43,Female,Married,27,Bachelor,Life Sciences,8,18,1,Research & Development,Travel_Frequently,Manufacturing Director,3,No,10820,83,1082,11535,11,1,Low,High,Better,Better,High,3,8,0,7,1,
1127,Yes,39,Male,Divorced,2,Bachelor,Life Sciences,7,21,4,Research & Development,Travel_Frequently,Healthcare Representative,4,No,12169,84,203,13547,11,3,Very High,Low,Better,Best,High,3,18,11,7,5,
1128,No,40,Male,Single,14,Bachelor,Medical,1,21,2,Research & Development,Travel_Rarely,Research Director,5,No,19626,44,1308,17544,14,0,High,High,Best,Bad,Medium,3,20,4,7,9,
1131,No,21,Female,Single,1,Below College,Technical Degree,1,2,6,Research & Development,Travel_Rarely,Research Scientist,1,Yes,2070,70,984,25326,11,0,Medium,Very High,Best,Better,Medium,3,2,2,2,2,
1132,No,39,Male,Single,9,Bachelor,Life Sciences,9,9,2,Research & Development,Non-Travel,Laboratory Technician,2,No,6782,70,439,8770,15,0,Medium,High,Good,Better,High,3,5,0,4,3,
1133,No,36,Male,Single,18,Master,Life Sciences,2,18,0,Research & Development,Non-Travel,Manufacturing Director,2,No,7779,78,217,23238,20,0,Very High,Low,Better,Bad,High,4,11,0,9,9,
1135,No,31,Male,Married,20,Bachelor,Life Sciences,0,3,4,Sales,Travel_Frequently,Sales Representative,1,No,2791,67,793,21981,12,1,Very High,High,Better,Bad,Very High,3,2,2,2,2,
1136,No,28,Male,Married,2,Below College,Life Sciences,0,6,2,Research & Development,Travel_Rarely,Research Scientist,1,No,3201,67,1451,19911,17,0,Medium,Low,Bad,Bad,Medium,3,5,0,3,4,
1137,No,35,Male,Divorced,11,College,Marketing,1,5,3,Sales,Travel_Frequently,Sales Executive,2,No,4968,54,1182,18500,11,1,Very High,Very High,Better,Best,High,3,5,0,2,2,
1138,No,49,Male,Married,8,Master,Technical Degree,6,22,3,Sales,Travel_Rarely,Sales Executive,4,No,13120,56,174,11879,17,1,Medium,Very High,Better,Good,Medium,3,9,2,8,3,
1140,No,34,Male,Single,2,College,Life Sciences,2,5,3,Research & Development,Travel_Frequently,Manufacturing Director,2,No,4033,95,1003,15834,11,0,High,Very High,Good,Best,High,3,3,0,2,2,
1143,No,29,Female,Divorced,10,Bachelor,Life Sciences,0,8,2,Research & Development,Travel_Frequently,Research Scientist,1,No,3291,61,490,17940,14,2,Medium,Very High,Good,Best,High,3,7,1,5,1,
1148,No,42,Male,Single,29,Bachelor,Medical,4,16,3,Research & Development,Travel_Rarely,Laboratory Technician,2,No,4272,56,188,9558,19,0,Very High,Medium,Better,Bad,Low,3,1,0,0,0,
1150,No,29,Male,Married,8,Below College,Medical,1,10,2,Research & Development,Travel_Rarely,Manufacturing Director,2,Yes,5056,79,718,17689,15,1,Very High,Medium,Good,Better,Medium,3,10,1,7,2,
1152,No,38,Male,Married,1,Bachelor,Human Resources,1,7,2,Human Resources,Travel_Rarely,Human Resources,1,No,2844,37,433,6004,13,1,High,High,Best,Best,Very High,3,7,5,6,0,
1154,No,28,Male,Divorced,6,Bachelor,Life Sciences,1,3,2,Research & Development,Travel_Frequently,Research Scientist,1,Yes,2703,39,773,22088,14,1,High,High,Better,Best,Medium,3,3,0,1,2,
1156,Yes,18,Male,Single,8,Below College,Medical,1,0,0,Research & Development,Non-Travel,Laboratory Technician,1,No,1904,80,247,13556,12,0,High,High,Better,Best,High,3,0,0,0,0,
1157,Yes,33,Female,Single,9,Master,Marketing,0,6,3,Sales,Travel_Rarely,Sales Executive,2,Yes,8224,77,603,18385,17,0,Low,Low,Better,Bad,High,3,5,0,2,3,
1158,No,41,Male,Married,12,Master,Life Sciences,3,6,4,Research & Development,Travel_Rarely,Laboratory Technician,1,Yes,4766,46,167,9051,11,1,Very High,Medium,Better,Bad,High,3,1,0,0,0,
1160,Yes,31,Male,Married,15,Bachelor,Medical,1,2,5,Research & Development,Travel_Frequently,Laboratory Technician,1,No,2610,72,874,6233,12,1,High,High,Good,Better,High,3,2,2,2,2,
1161,No,37,Female,Divorced,25,College,Medical,7,9,2,Research & Development,Travel_Rarely,Healthcare Representative,2,No,5731,52,367,17171,13,2,Very High,High,Better,Better,Medium,3,6,1,2,3,
1162,No,27,Male,Married,6,Bachelor,Life Sciences,1,4,0,Research & Development,Travel_Rarely,Research Scientist,1,No,2539,55,199,7950,13,1,High,Very High,Better,Better,Medium,3,4,2,2,2,
1163,No,34,Female,Married,9,Below College,Life Sciences,1,6,3,Sales,Travel_Rarely,Sales Executive,2,No,5714,70,1400,5829,20,0,High,Medium,Good,Bad,High,4,6,1,5,3,
1164,No,35,Male,Single,8,Master,Technical Degree,1,6,2,Human Resources,Travel_Rarely,Human Resources,1,No,4323,100,528,7108,17,0,High,High,Bad,Good,High,3,5,1,4,4,
1165,Yes,29,Female,Married,23,Below College,Life Sciences,1,11,3,Sales,Travel_Rarely,Sales Executive,3,No,7336,45,408,11162,13,1,Low,Very High,Bad,Bad,Medium,3,11,3,8,10,
1166,No,40,Female,Single,9,Master,Medical,9,20,3,Research & Development,Travel_Frequently,Research Director,3,No,13499,88,593,13782,17,0,High,Medium,Good,Better,High,3,18,2,7,13,
1167,Yes,42,Male,Single,12,Bachelor,Life Sciences,0,22,2,Sales,Travel_Frequently,Sales Executive,4,Yes,13758,44,481,2447,12,0,Low,High,Good,Good,High,3,21,13,9,14,
1171,No,42,Male,Single,4,Master,Marketing,7,9,3,Sales,Travel_Rarely,Sales Executive,2,No,5155,45,647,2253,13,0,Low,Medium,Best,Best,High,3,6,1,4,5,
1172,No,35,Male,Married,1,Master,Medical,6,10,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2258,58,982,16340,12,1,High,Very High,Better,Good,Medium,3,8,1,0,7,
1173,No,24,Male,Single,24,Bachelor,Medical,8,6,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,3597,49,477,6409,22,0,Medium,Very High,Better,Best,High,4,4,1,3,2,
1175,Yes,28,Female,Married,12,Below College,Life Sciences,1,1,4,Research & Development,Travel_Rarely,Laboratory Technician,1,Yes,2515,79,1485,22955,11,0,Very High,High,Good,Best,High,3,1,0,1,0,
1177,No,26,Male,Married,3,Master,Medical,1,8,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,4420,82,1384,13421,22,1,Very High,Low,Better,Good,Very High,4,8,0,7,7,
1179,No,30,Male,Married,10,Bachelor,Marketing,1,10,3,Sales,Travel_Rarely,Sales Executive,2,No,6578,72,852,2706,18,1,High,High,Better,Bad,Medium,3,10,1,3,4,
1180,No,40,Female,Married,26,College,Medical,3,16,3,Research & Development,Travel_Frequently,Research Scientist,2,Yes,4422,92,902,21203,13,1,Very High,High,Bad,Best,Medium,3,1,0,1,0,
1182,No,35,Male,Divorced,2,Bachelor,Life Sciences,2,15,2,Research & Development,Travel_Rarely,Manufacturing Director,3,No,10274,44,819,19588,18,1,Medium,High,Best,Good,Medium,3,7,6,7,4,
1184,No,34,Male,Single,1,Bachelor,Medical,0,14,3,Research & Development,Travel_Frequently,Healthcare Representative,2,No,5343,97,669,25755,20,0,Low,Very High,Better,Better,Medium,4,13,4,9,9,
1185,No,35,Male,Married,4,Master,Other,1,2,2,Research & Development,Travel_Frequently,Laboratory Technician,1,No,2376,47,636,26537,13,1,Very High,Very High,Best,Good,Medium,3,2,2,2,2,
1188,Yes,43,Female,Single,9,Bachelor,Marketing,8,7,2,Sales,Travel_Rarely,Sales Executive,2,No,5346,85,1372,9489,13,0,High,Low,Good,Good,Low,3,4,1,3,3,
1190,No,32,Female,Divorced,2,Below College,Life Sciences,1,1,3,Sales,Non-Travel,Sales Representative,1,No,2827,76,862,14947,12,3,Low,High,Better,Better,High,3,1,0,0,0,
1191,No,56,Female,Divorced,4,Master,Technical Degree,4,28,2,Research & Development,Travel_Rarely,Manager,5,No,19943,92,718,18575,13,1,Low,Very High,Better,Best,High,3,5,4,2,2,
1192,No,29,Female,Married,6,Below College,Medical,1,10,5,Research & Development,Travel_Rarely,Laboratory Technician,1,No,3131,54,1401,26342,13,1,Very High,Medium,Better,Bad,High,3,10,0,8,8,
1193,No,19,Male,Single,9,College,Life Sciences,1,1,4,Research & Development,Travel_Rarely,Research Scientist,1,No,2552,54,645,7172,25,0,Low,High,Better,Better,High,4,1,0,1,0,
1195,No,45,Female,Married,7,Bachelor,Medical,4,7,2,Research & Development,Travel_Rarely,Research Scientist,1,Yes,4477,83,1457,20100,19,1,High,Low,Good,Better,High,3,3,0,2,2,
1196,No,37,Female,Married,1,Bachelor,Life Sciences,1,14,2,Research & Development,Travel_Rarely,Manufacturing Director,2,No,6474,56,977,9961,13,1,Very High,Very High,Good,Good,Medium,3,14,3,8,11,
1198,No,20,Male,Single,3,Bachelor,Life Sciences,1,2,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,3033,87,805,12828,12,0,High,Low,Good,Bad,Medium,3,2,1,2,2,
1200,Yes,44,Male,Single,10,Master,Life Sciences,1,6,4,Research & Development,Travel_Rarely,Research Scientist,1,Yes,2936,96,1097,10826,11,0,High,High,Better,Better,High,3,6,0,4,2,
1201,No,53,Female,Divorced,7,College,Medical,3,26,6,Research & Development,Travel_Rarely,Manager,5,No,18606,50,1223,18640,18,1,High,Very High,Better,Good,High,3,7,4,7,7,
1202,No,29,Female,Married,15,Below College,Life Sciences,0,6,2,Research & Development,Travel_Rarely,Research Scientist,1,Yes,2168,69,942,26933,18,1,Very High,Medium,Good,Bad,Low,3,5,1,4,3,
1203,Yes,22,Male,Married,3,Master,Life Sciences,0,1,5,Research & Development,Travel_Frequently,Research Scientist,1,Yes,2853,48,1256,4223,11,1,Very High,High,Better,Good,Medium,3,0,0,0,0,
1204,No,46,Female,Married,2,Bachelor,Marketing,8,28,2,Sales,Travel_Rarely,Manager,4,No,17048,69,1402,24097,23,0,Low,High,Better,Bad,High,4,26,15,15,9,
1206,No,44,Male,Single,17,Bachelor,Life Sciences,2,6,3,Research & Development,Non-Travel,Research Scientist,1,No,2290,74,111,4279,13,0,High,Very High,Better,Best,Low,3,0,0,0,0,
1207,No,33,Male,Married,2,Bachelor,Human Resources,1,5,2,Human Resources,Travel_Rarely,Human Resources,1,No,3600,99,147,8429,13,1,High,Medium,Better,Best,High,3,5,1,4,4,
1210,Yes,41,Male,Divorced,5,College,Life Sciences,6,5,2,Research & Development,Non-Travel,Research Scientist,1,No,2107,95,906,20293,17,1,Low,Low,Bad,Bad,Medium,3,1,0,0,0,
1211,No,30,Male,Divorced,29,Master,Life Sciences,8,8,3,Sales,Travel_Rarely,Sales Executive,2,No,4115,61,1329,13192,19,3,Low,High,Better,Better,High,3,4,0,3,3,
1212,No,40,Male,Married,2,Master,Medical,5,5,2,Sales,Travel_Frequently,Sales Executive,2,No,4327,62,1184,25440,12,3,Medium,Medium,Better,Best,High,3,0,0,0,0,
1215,No,50,Female,Married,2,Bachelor,Medical,2,32,3,Research & Development,Travel_Frequently,Manager,4,No,17856,30,1421,9490,22,1,Low,Very High,Better,Better,High,4,2,2,2,2,
1216,No,28,Male,Married,19,Master,Medical,1,6,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,3196,78,1179,12449,12,3,Low,Very High,Better,Better,Medium,3,6,3,5,3,
1217,No,46,Male,Married,15,College,Life Sciences,5,25,2,Research & Development,Travel_Rarely,Research Director,5,No,19081,52,1450,10849,11,1,Medium,Very High,Better,Bad,High,3,4,0,2,3,
1218,No,35,Male,Married,17,Master,Life Sciences,3,15,2,Sales,Travel_Rarely,Sales Executive,2,Yes,8966,94,1361,21026,15,3,Low,High,Better,Best,High,3,7,1,7,7,
1219,Yes,24,Female,Married,17,College,Life Sciences,1,1,3,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2210,97,984,3372,13,1,Medium,Very High,Bad,Bad,High,3,1,0,0,0,
1220,No,33,Female,Married,25,Bachelor,Medical,1,10,3,Sales,Travel_Frequently,Sales Executive,2,No,4539,82,1146,4905,12,1,High,Medium,Good,Bad,High,3,10,0,7,1,
1221,No,36,Male,Divorced,6,Master,Life Sciences,1,7,4,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2741,60,917,6865,14,1,High,High,Better,Better,Low,3,7,1,7,7,
1224,No,30,Male,Divorced,7,Master,Life Sciences,1,10,4,Research & Development,Travel_Rarely,Laboratory Technician,2,No,3491,49,853,11309,13,3,High,High,Good,Bad,High,3,10,8,7,9,
1225,No,44,Male,Single,29,Master,Other,1,20,3,Research & Development,Travel_Rarely,Research Scientist,2,No,4541,32,200,7744,25,0,Very High,Very High,Better,Good,High,4,20,13,11,17,
1226,No,20,Male,Single,21,Bachelor,Marketing,1,2,2,Sales,Travel_Rarely,Sales Representative,1,No,2678,43,654,5050,17,0,Very High,High,Better,Best,Very High,3,2,2,1,2,
1228,No,46,Male,Divorced,2,Master,Technical Degree,2,12,3,Research & Development,Travel_Rarely,Manufacturing Director,2,No,7379,60,150,17433,11,1,Very High,Very High,Good,Better,High,3,6,1,3,4,
1231,No,42,Male,Married,2,Doctor,Medical,7,10,3,Human Resources,Non-Travel,Human Resources,2,No,6272,79,179,12858,16,1,Low,Very High,Best,Bad,Very High,3,4,0,3,3,
1233,No,60,Male,Divorced,7,Master,Marketing,0,12,3,Sales,Travel_Rarely,Sales Executive,2,Yes,5220,52,696,10893,18,1,Very High,Medium,Better,Good,Very High,3,11,1,7,9,
1234,No,32,Female,Married,13,Bachelor,Other,1,2,2,Research & Development,Travel_Frequently,Laboratory Technician,1,No,2743,77,116,7331,20,1,Medium,High,Better,Better,Medium,4,2,2,2,2,
1235,No,32,Female,Single,2,College,Life Sciences,4,10,2,Research & Development,Travel_Frequently,Research Scientist,2,Yes,4998,38,1316,2338,14,0,High,Very High,Better,Best,High,3,8,0,7,7,
1237,No,36,Female,Divorced,1,Bachelor,Technical Degree,2,17,2,Research & Development,Travel_Rarely,Manufacturing Director,3,Yes,10252,77,363,4235,21,1,Low,High,Better,Better,Low,4,7,7,7,7,
1238,No,33,Male,Married,9,Bachelor,Medical,0,15,5,Research & Development,Travel_Rarely,Research Scientist,1,No,2781,60,117,6311,13,1,Very High,Low,Better,Good,High,3,14,4,10,10,
1239,No,40,Female,Divorced,10,Bachelor,Technical Degree,7,7,2,Sales,Travel_Rarely,Sales Executive,2,No,6852,84,107,11591,12,1,Medium,Medium,Best,Good,Medium,3,5,1,1,3,
1240,No,25,Male,Single,10,Master,Life Sciences,0,5,4,Sales,Travel_Rarely,Sales Executive,2,No,4950,57,1356,20623,14,0,Very High,High,Better,Good,High,3,4,1,3,1,
1241,No,30,Male,Married,1,Bachelor,Medical,0,12,2,Research & Development,Travel_Rarely,Research Scientist,1,Yes,3579,63,1465,9369,21,1,Medium,Very High,Better,Bad,High,4,11,5,9,7,
1242,No,42,Female,Married,26,Doctor,Medical,3,20,6,Research & Development,Travel_Frequently,Research Director,3,Yes,13191,60,458,23281,17,0,Low,Low,Better,Better,High,3,1,0,0,0,
1243,No,35,Female,Married,8,College,Marketing,4,16,6,Sales,Non-Travel,Sales Executive,3,Yes,10377,78,1212,13755,11,1,Very High,High,Good,Good,Medium,3,13,4,2,12,
1244,No,27,Male,Married,14,Bachelor,Life Sciences,1,9,3,Research & Development,Travel_Rarely,Research Scientist,1,Yes,2235,42,1103,14377,14,2,Low,Low,Good,Best,High,3,9,6,7,8,
1245,No,54,Female,Divorced,1,Master,Life Sciences,7,33,2,Research & Development,Travel_Frequently,Manufacturing Director,3,No,10502,53,966,9659,17,1,High,Very High,Bad,Bad,High,3,5,1,4,4,
1246,No,44,Female,Married,2,Below College,Life Sciences,1,10,5,Research & Development,Travel_Rarely,Research Scientist,1,No,2011,72,1117,19982,13,1,Very High,Low,Better,Best,Very High,3,10,7,5,7,
1248,Yes,19,Female,Single,10,Bachelor,Medical,1,1,2,Research & Development,Non-Travel,Research Scientist,1,Yes,1859,96,504,6148,25,0,Medium,Low,Best,Good,Medium,4,1,0,1,0,
1249,No,29,Female,Divorced,1,Bachelor,Life Sciences,1,3,5,Research & Development,Travel_Rarely,Research Scientist,1,No,3760,97,1010,5598,15,3,Very High,Low,Better,Bad,High,3,3,1,2,2,
